param_set,scale,key,s_norm_sq,failures,trials,failure_rate,seed
ML-KEM-768,6,43,807,24,150,0.16,1234
ML-KEM-768,6,44,747,22,150,0.1467,1234
ML-KEM-768,6,45,772,23,150,0.1533,1234
ML-KEM-768,6,46,795,24,150,0.16,1234
ML-KEM-768,6,47,729,14,150,0.0933,1234
ML-KEM-768,6,48,769,27,150,0.18,1234
ML-KEM-768,6,49,781,19,150,0.1267,1234
ML-KEM-768,6,50,765,19,150,0.1267,1234
ML-KEM-768,6,51,736,25,150,0.1667,1234
ML-KEM-768,6,52,777,14,150,0.0933,1234
ML-KEM-768,6,53,762,20,150,0.1333,1234
ML-KEM-768,6,54,773,28,150,0.1867,1234
ML-KEM-768,6,55,878,33,150,0.22,1234
ML-KEM-768,6,56,740,19,150,0.1267,1234
ML-KEM-768,6,57,752,16,150,0.1067,1234
ML-KEM-768,6,58,733,31,150,0.2067,1234
ML-KEM-768,6,59,750,23,150,0.1533,1234
ML-KEM-768,7,0,795,102,150,0.68,1234
ML-KEM-768,7,1,834,83,150,0.5533,1234
ML-KEM-768,7,2,799,72,150,0.48,1234
ML-KEM-768,7,3,705,71,150,0.4733,1234
ML-KEM-768,7,4,769,73,150,0.4867,1234
ML-KEM-768,7,5,739,67,150,0.4467,1234
ML-KEM-768,7,6,721,84,150,0.56,1234
ML-KEM-768,7,7,761,88,150,0.5867,1234
ML-KEM-768,7,8,777,95,150,0.6333,1234
ML-KEM-768,7,9,763,85,150,0.5667,1234
ML-KEM-768,7,10,782,93,150,0.62,1234
ML-KEM-768,7,11,723,80,150,0.5333,1234
ML-KEM-768,7,12,833,100,150,0.6667,1234
ML-KEM-768,7,13,799,99,150,0.66,1234
ML-KEM-768,7,14,750,90,150,0.6,1234
ML-KEM-768,7,15,696,56,150,0.3733,1234
ML-KEM-768,7,16,808,97,150,0.6467,1234
ML-KEM-768,7,17,739,82,150,0.5467,1234
ML-KEM-768,7,18,744,76,150,0.5067,1234
ML-KEM-768,7,19,771,83,150,0.5533,1234
ML-KEM-768,7,20,779,89,150,0.5933,1234
ML-KEM-768,7,21,781,72,150,0.48,1234
ML-KEM-768,7,22,732,64,150,0.4267,1234
ML-KEM-768,7,23,783,92,150,0.6133,1234
ML-KEM-768,7,24,718,80,150,0.5333,1234
ML-KEM-768,7,25,731,61,150,0.4067,1234
ML-KEM-768,7,26,721,85,150,0.5667,1234
ML-KEM-768,7,27,733,61,150,0.4067,1234
ML-KEM-768,7,28,760,80,150,0.5333,1234
ML-KEM-768,7,29,768,91,150,0.6067,1234
ML-KEM-768,7,30,776,79,150,0.5267,1234
ML-KEM-768,7,31,808,101,150,0.6733,1234
ML-KEM-768,7,32,803,75,150,0.5,1234
ML-KEM-768,7,33,780,90,150,0.6,1234
ML-KEM-768,7,34,782,89,150,0.5933,1234
ML-KEM-768,7,35,733,86,150,0.5733,1234
ML-KEM-768,7,36,760,71,150,0.4733,1234
ML-KEM-768,7,37,772,76,150,0.5067,1234
ML-KEM-768,7,38,742,72,150,0.48,1234
ML-KEM-768,7,39,767,79,150,0.5267,1234
ML-KEM-768,7,40,784,83,150,0.5533,1234
ML-KEM-768,7,41,749,77,150,0.5133,1234
ML-KEM-768,7,42,779,83,150,0.5533,1234
ML-KEM-768,7,43,820,93,150,0.62,1234
ML-KEM-768,7,44,770,79,150,0.5267,1234
ML-KEM-768,7,45,768,85,150,0.5667,1234
ML-KEM-768,7,46,759,77,150,0.5133,1234
ML-KEM-768,7,47,802,101,150,0.6733,1234
ML-KEM-768,7,48,749,73,150,0.4867,1234
ML-KEM-768,7,49,777,73,150,0.4867,1234
ML-KEM-768,7,50,752,81,150,0.54,1234
ML-KEM-768,7,51,705,68,150,0.4533,1234
ML-KEM-768,7,52,802,80,150,0.5333,1234
ML-KEM-768,7,53,777,86,150,0.5733,1234
ML-KEM-768,7,54,863,89,150,0.5933,1234
ML-KEM-768,7,55,663,69,150,0.46,1234
ML-KEM-768,7,56,754,93,150,0.62,1234
ML-KEM-768,7,57,754,96,150,0.64,1234
ML-KEM-768,7,58,809,82,150,0.5467,1234
ML-KEM-768,7,59,686,60,150,0.4,1234
